timestamp_utc,epoch_s,humidity_percent,temperature_c
2026-04-02T09:24:55.778807+00:00,1775121895.779,53,20.6
2026-04-02T09:24:57.034204+00:00,1775121897.034,53,20.6
2026-04-02T09:24:58.038875+00:00,1775121898.039,53,20.6
2026-04-02T09:24:59.294281+00:00,1775121899.294,53,20.6
2026-04-02T09:25:00.298539+00:00,1775121900.299,53,20.6
2026-04-02T09:25:01.553849+00:00,1775121901.554,53,20.6
2026-04-02T09:25:02.558674+00:00,1775121902.559,53,20.6
2026-04-02T09:25:03.814338+00:00,1775121903.814,53,20.6
2026-04-02T09:25:04.819981+00:00,1775121904.820,53,20.6
2026-04-02T09:25:06.075622+00:00,1775121906.076,53,20.6
2026-04-02T09:25:07.081392+00:00,1775121907.081,53,20.6
2026-04-02T09:25:08.338164+00:00,1775121908.338,53,20.6
2026-04-02T09:25:09.343447+00:00,1775121909.343,53,20.6
2026-04-02T09:25:10.599331+00:00,1775121910.599,53,20.6
2026-04-02T09:25:11.603917+00:00,1775121911.604,53,20.6
2026-04-02T09:25:12.859173+00:00,1775121912.859,53,20.6
2026-04-02T09:25:13.863451+00:00,1775121913.863,53,20.6
2026-04-02T09:25:15.118839+00:00,1775121915.119,53,20.6
2026-04-02T09:25:16.123577+00:00,1775121916.124,53,20.6
2026-04-02T09:25:17.378354+00:00,1775121917.378,53,20.6
2026-04-02T09:25:18.381992+00:00,1775121918.382,53,20.6
2026-04-02T09:25:19.638282+00:00,1775121919.638,53,20.6
2026-04-02T09:25:20.642262+00:00,1775121920.642,53,20.6
2026-04-02T09:25:21.898045+00:00,1775121921.898,53,20.6
2026-04-02T09:25:22.902002+00:00,1775121922.902,53,20.6
2026-04-02T09:25:24.158398+00:00,1775121924.158,53,20.6
2026-04-02T09:25:25.163573+00:00,1775121925.164,53,20.6
2026-04-02T09:25:26.420970+00:00,1775121926.421,53,20.6
2026-04-02T09:25:27.424951+00:00,1775121927.425,53,20.6
2026-04-02T09:25:28.682392+00:00,1775121928.682,53,20.6
2026-04-02T09:25:29.687655+00:00,1775121929.688,53,20.6
2026-04-02T09:25:30.943490+00:00,1775121930.944,53,20.6
2026-04-02T09:25:31.947670+00:00,1775121931.948,53,20.6
2026-04-02T09:25:33.203661+00:00,1775121933.204,53,20.6
2026-04-02T09:25:34.207399+00:00,1775121934.207,53,20.6
2026-04-02T09:25:35.463183+00:00,1775121935.463,53,20.6
2026-04-02T09:25:36.467532+00:00,1775121936.468,53,20.6
2026-04-02T09:25:37.723848+00:00,1775121937.724,53,20.6
2026-04-02T09:25:38.727847+00:00,1775121938.728,53,20.6
2026-04-02T09:25:39.983635+00:00,1775121939.984,53,20.6
2026-04-02T09:25:40.987523+00:00,1775121940.988,53,20.6
2026-04-02T09:25:42.243904+00:00,1775121942.244,53,20.6
2026-04-02T09:25:43.249189+00:00,1775121943.249,53,20.6
2026-04-02T09:25:44.506548+00:00,1775121944.507,53,20.6
2026-04-02T09:25:45.510530+00:00,1775121945.511,53,20.6
2026-04-02T09:25:46.767950+00:00,1775121946.768,53,20.6
2026-04-02T09:25:47.773146+00:00,1775121947.773,53,20.6
2026-04-02T09:25:49.028067+00:00,1775121949.028,53,20.6
2026-04-02T09:25:50.031699+00:00,1775121950.032,53,20.6
